Row;Title;Country;Saga;Genre;Animation;Hours Viewed;Views;Image URL V;Image URL H;Image URL Saga
38;K.O.;France;K.O.;Action/Drama;No;90600000;62500000;;;
39;Madea’s Destination Wedding;USA;Madea’s Destination Wedding;Comedy;No;104500000;60300000;;;
40;PAW Patrol: The Mighty Movie;Canada;Paw Patrol;Family;Yes;86000000;58700000;;;https://image.tmdb.org/t/p/original/csh5d7tUukrezRnj4K0UMDOI02E.jpg
41;The Wrong Paris;USA;The Wrong Paris;Romance/Comedy;No;103400000;58000000;;;
42;Dr. Seuss' The Grinch;USA;Dr. Seuss;Family;Yes;81700000;57000000;;;https://npr.brightspotcdn.com/dims4/default/4dccfa4/2147483647/strip/true/crop/400x400+0+0/resize/880x880!/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Ffa%2F4d%2Fba09c2864f2595843ee6191fd310%2Fdr-seuss-cover-1.png
43;Unknown Number: The High School Catfish;USA;Unknown Number;Documentary/True Crime;No;90000000;56800000;;;
44;Wake Up Dead Man: A Knives Out Mystery;USA;Knives Out;Mystery/Crime;No;136900000;56300000;;;
45;The Emoji Movie;USA;The Emoji Movie;Family;Yes;81000000;55900000;;;
46;A Widow's Game // La viuda negra;Spain;A Widow's Game (La viuda negra);Crime Thriller;No;113000000;55600000;https://image.tmdb.org/t/p/original/tgmNdAQvLxLcSni35oP0nd8W3bq.jpg;https://image.tmdb.org/t/p/original/ghPQ7zTHxRV4iG9LbwVgejhZbZ0.jpg;
47;Bad Influence // Mala influencia;Spain;Bad Influence (Mala influencia);Romance/Drama;No;96800000;54300000;https://image.tmdb.org/t/p/original/oogmlZekRCHP0JDhHKDZIyDIfpP.jpg;https://image.tmdb.org/t/p/original/ulKFOah3eg4KSTgUdApy3xMXbvv.jpg;
48;Caramelo;Spain;Caramelo;Drama/Comedy;No;89000000;52900000;https://image.tmdb.org/t/p/original/ur3H6g9xmrLQX2Ioh9z3P904ZSC.jpg;https://image.tmdb.org/t/p/original/c2dPK558peXs9QzacwzHYQqqS2r.jpg;
49;Fall for Me;USA;Fall for Me;Romance;No;92200000;52700000;;;
50;We Can Be Heroes;USA;We Can Be Heroes;Family/Superhero Adventure;No;86800000;51600000;;;
51;Kraven the Hunter;USA;Kraven the Hunter;Action/Superhero;No;106900000;50500000;;;
52;The Croods;USA;The Croods;Family;Yes;81500000;49900000;;;
53;Champagne Problems;USA;Champagne Problems;Romance/Comedy;No;82100000;49800000;;;
54;My Secret Santa;USA;My Secret Santa;Romance/Comedy;No;76100000;49600000;;;
