Title;Hours Viewed;Views
Don't Move;35200000;23000000
Spy Kids: Armageddon;37400000;22900000
Now You See Me;43500000;22700000
The Mother;44100000;22700000
The Elixir // Abadi Nan Jaya;44600000;22700000
Smurfs: The Lost Village;33900000;22600000
Bogotá: City of the Lost // 보고타: 마지막 기회의 땅;40300000;22600000
Ma (2019);37100000;22500000
Leave the World Behind;53200000;22500000
Alvin and the Chipmunks: Chipwrecked;32300000;22300000
Fast & Furious Presents: Hobbs & Shaw;50300000;22200000
Wallace & Gromit: Vengeance Most Fowl;30400000;22200000
Karate Kid: Legends;34600000;22100000
Murder Mystery;36200000;22100000
The Twits;37800000;22000000
The Fast and the Furious;38900000;22000000
Norbit;37700000;22000000
One of Them Days;35700000;22000000
Rise of the Guardians;36200000;21700000
Matilda (1996);35400000;21700000
A Madea Homecoming;38600000;21700000
Rampage (2018);38600000;21600000
Masha and the Bear: The Legend of the 12 Months;8300000;21600000
Beverly Hills Cop: Axel F;42600000;21600000
YES DAY;32200000;21500000
Gladiator II;53000000;21500000
Mowgli: Legend of the Jungle;37600000;21500000
Mango;34300000;21400000
Interstellar;60300000;21400000
Kung Fu Panda 4;33200000;21200000
Turbo (2013);33900000;21200000
Fast Five;46000000;21200000
The Hangover: Part II;35800000;21100000
Trainwreck: The Astroworld Tragedy;28300000;21000000
Sonic the Hedgehog 3;38400000;20900000
Minions: The Rise of Gru;30700000;20900000
Dhoom Dhaam // धूम धाम;37800000;20800000
Feel the Beat;38000000;20700000
The Adam Project;37000000;20700000
Life or Something Like It;35900000;20700000
Glass Onion: A Knives Out Mystery;48500000;20700000
Rush Hour (1998);33700000;20600000
Dungeons & Dragons: Honor Among Thieves;46000000;20600000
Unexplainable // Inexplicável;39500000;20600000
Aftermath (2024);32600000;20500000
The Mule (2018);34500000;20300000
Pushpa 2: The Rule (Reloaded Version);75100000;20200000
Fifty Shades of Grey;41800000;20100000
The Northman;45900000;20100000
The Twilight Saga: Breaking Dawn: Part 2;38300000;20000000
Trap (2024);35100000;20000000
Woody Woodpecker (2017);30400000;20000000
Revelations // 계시록;40500000;19900000
A Quiet Place: Day One;33100000;19800000
Triple Frontier;41600000;19800000
The Children's Train // Il treno dei bambini;34700000;19600000
Mantis // 사마귀;36900000;19600000
The Angry Birds Movie 2;31400000;19400000
How the Grinch Stole Christmas;33600000;19400000
Knight and Day;35000000;19300000
Lost on a Mountain in Maine;30500000;19300000
Wall to Wall // 84㎡ (84제곱미터);38200000;19300000
Mean Girls (2004);31300000;19300000
Aileen: Queen of the Serial Killers;33400000;19300000
Ziam // ปากกัด ตีนถีบ;31100000;19200000
Angel Has Fallen;38600000;19100000
The Mask (1994);31900000;19000000
The Intern (2015);38700000;19000000
The Dad Quest // Lo mejor del mundo;26500000;18900000
Murder Mystery 2;28600000;18900000
Pinkfong & Baby Shark's Space Adventure // 핑크퐁 시네마 콘서트: 우주대탐험;20500000;18900000
A Family Affair;35600000;18800000
Raid 2 // रेड 2;43000000;18800000
The Twilight Saga: New Moon;40800000;18700000
2 Fast 2 Furious;33700000;18700000
Peter Rabbit (2018);29700000;18700000
The Sentinel (2006);33500000;18600000
The Carman Family Deaths;28000000;18500000
World War Z;36200000;18500000
Wonka;35800000;18500000
Incoming;28100000;18500000
The Little Things (2021);39400000;18500000
The Love Scam // Mica è Colpa Mia;31200000;18500000
No Hard Feelings (2023);32000000;18400000
My Father, the BTK Killer;28800000;18400000
Harry Potter and the Sorcerer's Stone;46700000;18400000
To Catch a Killer (2023);36200000;18300000
Vivo;30500000;18300000
Meet the Khumalos;28300000;18200000
Chicken Run: Dawn of the Nugget;30800000;18100000
The Kissing Booth;31900000;18100000
Ruby Gillman, Teenage Kraken;27300000;18000000
IF (2024);31200000;18000000
My Name Is Vendetta // Il Mio Nome è Vendetta;27600000;18000000
Mother of the Bride;27100000;18000000
A Copenhagen Love Story // Sult;31500000;18000000
Jay Kelly;40100000;18000000
The Hangover: Part III;29900000;17900000
Furious 7;40800000;17900000
Gods of Egypt;37800000;17800000
The SpongeBob Movie: Sponge on the Run;28200000;17800000
Madagascar: Escape 2 Africa;26800000;17700000
Train Dreams;30600000;17700000
Atlas;35100000;17600000
Me Time;30400000;17600000
The Karate Kid (2010);41000000;17600000
Ted 2;34100000;17600000
Pride & Prejudice;37100000;17500000
Morbius;30300000;17500000
Bad Boys for Life;36200000;17500000
Extraction;34100000;17400000
28 Weeks Later;29000000;17400000
6 Underground;37500000;17400000
A Man Called Otto;36200000;17200000
Dune: Part Two;47500000;17200000
Don't Say a Word;32600000;17200000
Con Mum;25300000;17100000
To All the Boys: P.S. I Still Love You;29100000;17100000
Shooter (2007);35700000;17100000
Almost Family // Família, Pero No Mucho;23400000;17100000
Family Pack // Loups-Garous;26900000;17000000
Coach Carter;38500000;16900000
Thelma the Unicorn;27600000;16900000
Now You See Me 2;36100000;16800000
Charlie and the Chocolate Factory;32000000;16700000
Fast & Furious 6;36200000;16700000
Love Forever // Kärlek fårever;26600000;16700000
Non-Stop (2014);29700000;16600000
The Fast and the Furious: Tokyo Drift;28700000;16600000
